Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-12-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cuba,CUB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,94.42,71.16,63.01,68.89,85.54,70.18,87.89,80.61,76.16,126.87,90.7,82.29,88.77,97.81,95.2,98.41,107.63,122.9,132.63,115.79,123.98,131.16,125.37,138.89,128.77,129.99,131.81,140.5,146.67,146.63,142.2,127.78,87.7,86.51,79.29,97.13,94.03,86.53,104.65,125.24,124.86,129.88,131.52,138.27,108.4,89.14,95.24,95.11,97.67,84.39,88.92,94.42,98.12,97.18,101.09,101.73,103.91,91.8,93.14,72.92,66.07,65.76,
Curacao,CUW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,164.06,165.79,148.8,147.69,205.45,200.21,239.74,241.31,262.65,241.82,276.95,261.94,187.64,224.53,185.07,199.72,198.85,201.57,214.75,221.02,224.36,218.47,221.7,228.5,219.31,198.51,208.4,231.48,246.8,221.24,169.64,212.87,223.76,172.68,221.92,203.57,159.47,183.71,192.84,176.58,169.82,177.97,169.52,185.48,151.89,142.99,132.13,110.62,108.92,110.17,117.92,104.56,99.1,101.4,109.17,89.43,94.43,86.67,88.74,87.51,84.41,85.49,
Czechia,CZE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.63,87.77,91.22,93.85,90.31,91.33,97.12,91.4,95.34,80.02,67.22,98.55,88.95,77.67,85.42,95.01,91.44,80.83,94.38,79.85,91.06,104.2,94.61,101.19,90.19,87.42,87.1,92.93,92.26,93.98,
Germany,DEU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,74.63,89.99,95.14,88.45,80.26,84.87,95.81,93.73,83.39,88.75,86.66,87.05,89.91,91.47,81.12,74.23,84.6,88.1,89.08,81.32,79.86,94,81.54,94.8,94.75,96.16,91.79,97.45,95.51,89.56,81.2,81.59,82.24,79.25,83.52,87.51,88.71,92.38,96.44,101.29,100.61,91.73,81.79,103.86,96,90.6,91.69,100.26,103.7,91.64,90.66,94.85,96.18,107.61,97.52,94.87,95.45,81.78,88.69,90.66,90.39,91.48,
Djibouti,DJI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,2.11,2.11,2.11,2.33,2.88,3.04,3.23,3.41,3.42,3.63,3.63,4.01,4.26,4.72,4.81,5.3,5.73,6.31,9.02,31.73,32.63,35.1,35.26,39.98,41.93,45.71,45.46,41.41,45.68,59.26,59.12,61.48,61.94,63.71,65.29,66.1,68.22,69.22,71.66,73.62,75.87,78.69,74.13,77.61,78.32,74.6,79.87,83.02,86.33,87.23,91.4,102.96,97.84,98.53,101.23,100.24,123.49,137.16,160.68,169.14,150.47,139.41,
Dominica,DMA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,63.97,62.01,62.4,73.8,82.88,80.82,80.39,86.92,90.56,79.21,76.31,76.22,71.2,77.57,81.05,91.75,91.36,100.63,75.28,66.45,82.95,86.29,85.59,88.94,90.21,108.89,119.49,134.5,117.77,117.14,109.87,105.9,108.63,95.28,87.01,103.15,101.56,98.8,96.43,93.58,82.98,82.44,76.09,79.07,76.76,81.01,75.76,86.61,95.84,81.75,92.01,93.3,98.82,98.44,99.87,101.69,99.73,100.34,100.29,100.27,100.63,100.61,
Denmark,DNK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,53.94,55.49,55.76,60.36,55.62,54.07,54.82,59.27,57.06,57.56,59.82,59.16,57.95,64.18,56.27,52.82,66.67,66.06,67.88,64.38,68.38,77.4,63.55,92.1,86.97,88.06,78.67,86.2,94.38,104.96,98.55,81.05,92.3,82.96,91.11,91.06,95.08,94.36,89.37,91.72,89.27,84.99,88.22,90.77,90.11,84.65,85.85,93.03,100.47,89.12,90.77,93.69,93.84,101.12,103.9,94.98,107.11,75.83,103.74,103.05,96.3,107.01,
Dominican Republic,DOM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,41.43,42.59,41.83,43.27,38.24,40.83,39.94,38.55,45.53,47.59,50.29,50.99,54.74,54.77,52.08,57.87,57.08,58.91,56.34,55.54,56.42,60.26,62.25,61.63,58.29,58.43,60.77,59.25,61.02,47.62,46.23,48.99,49.01,46.05,48.44,50.05,51.5,49.99,48.82,51.24,56.48,58.59,62.86,57.58,56.01,62.67,62,55.98,64.79,71.08,79.02,82.1,88.7,97.53,98.71,103.76,109.76,118.35,120.86,117.58,119.04,136.2,
Algeria,DZA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,28.93,30.88,31.39,27.2,31.35,19.15,21.36,28.35,25.54,26.33,27.12,23.7,21.77,23.53,26.4,23.68,17.67,17.85,20.87,22.93,23.2,18.67,19.2,21.27,28.76,28.9,27.39,23.85,27.55,24.79,33.05,35.92,32.03,27.54,33.02,43.26,30.82,36.34,39.35,30.95,36.67,37.64,49,54.54,55.85,59.16,51.52,52.87,72.36,74.96,83.53,88.72,98.82,94.93,101.74,103.33,104.4,115.36,121.01,120.95,108.76,118.19,
East Asia & Pacific (excluding high income),EAP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Early-demographic dividend,EAR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,3.332475869,3.402464727,3.506711508,3.637539317,3.561646371,3.587754392,3.819193953,3.951690226,4.063036026,4.258161182,4.34053233,4.248944929,4.404487715,4.499251741,4.781071893,4.824495281,5.013156148,5.237315672,5.134963208,5.344779122,5.666948926,5.702643453,5.953389269,6.076877007,6.246613038,6.406148971,6.396724927,6.752929592,6.901992237,7.114595902,7.211758561,7.517297682,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
East Asia & Pacific,EAS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,93.05299132,93.38702718,93.47407523,93.71706225,93.95503185,94.30188059,94.29901249,94.45519224,94.52052321,94.76903382,94.86787591,94.76233814,95.21857674,95.2365443,95.37503337,95.41157365,95.51543561,95.85199137,95.91088954,95.88156231,96.05470205,96.23550437,96.43540669,96.59482048,96.60113809,96.67715856,96.74885045,96.79996036,96.88609199,97.00258381,97.01209435,97.152176,97.27885523,97.31184862,97.46719416,97.62772614,97.65183931,97.69332492,97.79862231,97.90214945,97.9359629,98.01474087,98.01580209,98.12916633,98.17598082,98.21433208,98.25680616,98.35049845,98.38759002,98.42022687,98.48620647,98.53104583,98.55491133,98.57391848,100,100,100,100,100,100,,,
Europe & Central Asia (excluding high income),ECA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Europe & Central Asia,ECS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25578542,10.30732673,9.552494804,9.608650879,10.09161958,10.26327843,9.826624788,10.03362127,99.96242498,99.96273392,99.96292392,99.96152127,99.96540023,99.96409017,99.96432988,99.96322658,99.96685635,99.96693691,99.96429701,99.9679275,99.96526364,99.96833397,99.96912036,100,100,100,100,100,100,,,
Ecuador,ECU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,38.84,39.43,39.64,47.83,51.07,46.9,44.69,47.23,46.23,46.05,45.05,42.5,42.58,47.28,47.71,47.46,49.74,45.35,44.62,48.31,48.25,46.82,38.96,43.73,49.33,50.21,52.02,57.48,58.03,61.21,53.88,66.83,69.84,78.94,75.6,80.77,84.34,72.26,87.98,72.21,85.6,77.38,84.39,87.81,86.59,85.72,89.49,92.54,100.2,102.99,96.97,94.01,85.92,99.16,106.98,93.86,98,94.23,96.2,97.08,104.34,100.03,
"Egypt, Arab Rep.",EGY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,18.93,23.12,24.08,24.11,24.56,24.67,23.95,25.7,27.62,27.2,28.07,28.58,28.74,29.08,29.86,30.87,30.01,31.27,33.28,34.21,33.85,35.36,35.89,35.76,38.65,41.69,43.63,42.14,43.4,47.29,47.82,51.68,53.42,52.74,57.89,63.35,64.28,63.96,69.69,73.2,71.79,75.44,76.81,81.01,83.77,89.16,91.35,95.12,95.73,88.42,93.19,97.68,94.03,99.07,101.99,98.94,100.63,96.26,101.22,101.83,104.17,105.25,
Euro area,EMU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,3.425587913,3.708844698,3.809806461,3.74102352,3.747876001,3.733165663,3.99362452,3.981002343,3.818367303,4.026423436,3.968226813,3.913213877,4.279322952,4.266959556,4.084075618,3.903623344,3.889334173,4.226948213,4.457773393,4.473431016,4.194719994,4.586257911,4.369337592,4.665481,4.629337141,4.589199196,4.775325627,4.548397998,4.729662651,4.588439521,4.58720003,4.8427071,4.689636674,4.593304095,4.529566883,5.015946903,5.071054637,5.001083777,5.230974358,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Eritrea,ERI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.14,104.64,88.85,71.71,76.28,138.6,112.81,76.04,94.39,60.02,71.37,72.86,123.87,114.78,133.04,61.25,84.34,86.66,99.46,100.79,100.04,100.72,99.32,99.96,100.67,100.48,100.24,100.42,100.35,100.58,
Spain,ESP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,45.4,44.54,52.78,46.1,47.18,51.12,46.9,50.6,48.68,51.15,52.38,58.01,64.23,63.7,63.66,60.78,55.69,67.23,70.64,72.05,61.91,72.09,62.14,77.44,74.04,72.74,84.31,72.24,79.59,83.44,76.66,79.36,74.06,68.71,58.94,85.26,94.27,86.06,84.93,95.06,94.06,92.29,105.08,97.08,84.07,96.05,94.7,92.77,94.21,97.54,100.81,81.38,111.56,94.65,99.16,106.19,98.65,121.45,102.04,116.68,114.78,87.04,
Estonia,EST,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.74,82.88,66.26,66.55,67.68,67.4,54.9,52.23,73.79,61.49,53.84,53.1,53.16,66.4,54.38,76.51,68.53,73.17,65.21,72.45,82.13,83.62,95.87,122.83,81.3,103.72,71.14,120.29,122.38,101.94,118.97,
Ethiopia,ETH,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.73,26.11,30.49,36.45,36.53,32.46,35.2,36.45,38.81,37.74,39.19,42.64,50.66,51.31,56.26,57.76,65.63,72.55,76.5,80.55,88.89,95.98,100.99,103.03,106.37,105.88,108.07,116.89,114.29,116.51,
European Union,EUU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,4.648985466,4.827667198,5.054804712,5.03726058,5.00644959,5.11387176,5.383930833,5.407149869,5.205818157,5.380351796,5.342942916,5.414414018,5.806882227,5.77714354,5.551937699,5.523642787,5.411682728,5.824448024,6.043998956,5.833339289,5.757052938,6.204386425,5.931066901,6.398204542,6.221702788,6.270935008,6.299857359,6.133700995,6.337066194,6.145876013,6.078041953,6.057353827,6.209910203,5.951063779,6.018496773,6.465207538,6.526599903,6.465932045,6.627391271,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Fragile and conflict affected situations,FCS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.06537217,15.92650683,15.76396829,13.99146022,14.62761487,14.36379706,17.79310579,14.87608046,18.17488134,19.39350349,20.285614,20.62496275,19.82464895,23.80196526,23.36865595,21.36576773,23.53248767,23.63443772,19.92189258,20.51490317,23.50436453,19.56486995,21.73755373,19.84678876,24.16137897,23.50042869,21.26809495,26.52414373,19.12057038,17.40652105,23.84389893,27.61275082,50.83266919,64.56216492,63.25357244,75.30935312,73.20946655,75.67777549,70.69081233,72.64125578,85.53514222,83.46602589,98.09345962,94.09156623,101.1146913,104.7739676,102.3715011,99.09167868,105.1596404,91.4003571,107.9351515,100,100,100,100,100,100,100,100,100,,,
Finland,FIN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,68.59,56.57,70.87,62.03,77.65,68.16,71.96,73.03,73.09,85.54,82.6,79.29,74.37,75.58,89.03,105.42,79.84,85.36,87.11,92.55,69.33,92.42,107.83,99.57,95.84,97.74,62.3,87.4,108.67,115.8,93.75,80.84,95.67,96.23,97.35,101.19,105.29,78.17,87.41,108.7,100.73,106.43,99.31,97.3,110.35,101.75,108.48,107.37,113.68,90.26,102.41,93.61,104.57,106.62,97.31,96.07,93.69,80.26,106.37,92.98,78.32,98.69,
Fiji,FJI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,100.88,121.87,140.07,137.07,124.64,120.67,117.81,145.65,133.65,144.32,129.24,116.14,119.2,107.83,107.2,111.22,126.1,127.78,162.37,143.28,159.67,166.48,112.97,183.19,145.07,179.82,136.75,142.01,173.4,177.85,150.45,156.78,157.06,166.55,172.28,168.02,157.33,119.53,161.29,161.63,143.25,151.38,135.98,152.34,155.77,164.98,142.2,139.26,133,93.81,112.94,81.32,104.9,107.17,107.8,85.03,97.46,103.25,109.47,115.1,110.62,125.17,
France,FRA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,65.75,83.29,74.98,75.69,80.94,73.65,79.22,82.27,74.9,83.98,81.67,79.52,93.17,87.97,78.64,77.77,74.38,84.58,93.22,91.14,84.22,96.51,87.88,98.32,97.44,94.26,99.69,96.74,97.37,98.6,91.09,100.14,90.41,91.26,93.05,101.55,101.95,103.3,106.61,103.98,95.4,103.96,89.85,106.67,99.78,96.17,93.28,100.16,103.75,98.02,100.82,97.23,96.03,105.3,103.95,90.75,103.14,95.93,98.39,89.97,96.52,94.72,
Faroe Islands,FRO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,112.15,106.6,119.84,98.72,92.27,104.21,92.2,95.75,79.22,105.63,84,75.93,68.31,68.76,64.95,87.49,83.94,83.94,83.94,83.94,83.94,83.94,85.87,87.17,90.39,90.39,90.39,90.39,90.39,93.62,95.49,97.98,97.39,97.69,97.76,97.65,97.37,96.96,96.45,95.87,95.23,94.39,93.74,93.15,92.64,92.21,90.39,91.94,92.17,91.33,94.05,96.85,103.31,109.33,89.84,100.83,98.28,98,98.13,98.75,99.07,99.4,
"Micronesia, Fed. Sts.",FSM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.06,0.06,68.59,68.68,68.74,68.77,68.89,68.92,68.95,68.97,68.99,66.49,63.39,60.68,61.5,60.45,60.23,59.97,76.22,81.2,82.1,100.41,99.27,100.31,100.5,122.67,122.79,122.83,122.83,125.71,
Gabon,GAB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,25.59,26.1,25.44,25.19,25.47,25.95,26.71,28.08,28.23,29.34,30.47,31.18,32.07,32.7,33.58,34.69,38.65,42.03,44.83,47.72,45.79,48.02,49.95,51.47,52.27,54.73,55.49,58.48,59.25,57.93,66.22,62.69,60.76,62.01,62.65,66.28,67.91,70.98,69.38,72.84,70.93,72.59,73.02,72.26,73.28,74.81,76.95,82.38,82.62,86.39,92.17,91.64,95.93,99.09,100.09,100.82,102.14,102.92,104.09,104.02,105.3,106.23,
United Kingdom,GBR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,54.25,61.1,61.71,66.32,68.48,64.69,69.48,67.37,67.46,70.7,74.17,71.25,74.04,76.41,62.05,59.87,75.76,78.89,77.6,83.85,80.83,92,85.96,105.44,93.07,97.83,93.7,94.92,95.82,98.26,98.62,102.32,95.91,91.29,91.59,102.21,100.96,97.39,99.81,98.54,86.81,97.87,93,94.77,94.57,91.57,86.86,100.18,96.15,95.03,99.42,85.71,89.62,104.19,102.87,92.94,101.62,91.3,101.7,83.04,90.1,94.33,
Georgia,GEO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.87,156.29,156.44,175,160.22,166.91,150.85,181.52,133.87,138.57,122.2,159.48,122.47,169.18,93.33,118.6,97.45,91.41,80.73,99.86,94.73,126.77,100.78,101.65,97.56,81.82,103.77,107.22,126.5,126.82,119.42,
Ghana,GHA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,18.41,18.65,19.01,21.54,19.36,19.97,21.5,20.69,22.35,23.83,24.79,24.18,24.77,28.15,26.14,22.94,19.64,19.4,20.16,19.99,19.59,17.93,17.78,23.15,22.92,24.86,25.21,26.36,28.91,23.28,34.69,34.33,37.23,36.01,41.75,45.76,44.48,48.63,51.43,51.53,53.67,59.72,62.29,64.91,66.73,68.47,66.27,74.55,82.22,83.88,87.35,92.32,94.97,99.33,99.62,101.05,108.02,113.29,119.88,123.03,131.73,137.06,
Gibraltar,GIB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,25.38,25.8,23.87,24.98,24.54,26.22,27.45,27.81,27.57,28.33,29.5,28.78,28.85,28.93,29.39,30.85,30.93,30.93,32.27,32.55,32.63,32.86,33.23,35.25,35.89,36.04,36.41,37.69,39.88,41.87,44.13,46.38,47.61,49.96,50.46,51.27,52.74,54.71,56.54,59.95,59.14,61.9,64.75,67.28,69.98,71.81,74.78,78.51,77.57,83.16,87.44,89.33,92.51,95.56,100.14,104.3,110.06,115.09,124.24,136.83,143.63,150.02,
"Gambia, The",GMB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,86.67,88.16,87.64,90.67,99.74,106.86,96.35,105.18,98.28,100.96,107.29,94.44,111.98,101.78,98.6,96.79,73.64,96.77,57.49,60.38,91.73,114.29,87.11,87.12,76.58,92.47,95.18,86.28,102.8,71.24,79.74,61.03,73.09,75.93,72.68,58.03,75.2,73.99,111.7,125.44,136.64,80.9,105.41,134.21,113.58,120.99,83.16,125.18,150.82,171.86,102.57,131.33,116.79,97.31,110.52,92.17,76.03,46.9,56.47,59.57,63.04,70.82,
Guinea-Bissau,GNB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,39.41,39.82,37.81,36.75,33.01,30.99,30.26,29.97,28.91,28.65,25.98,27.69,27.09,28.69,32.73,36.72,33.52,32.04,33.05,33.87,37.65,42.2,36.85,44.03,43.17,46.66,45.04,43.54,47.43,49.32,47.23,49.32,50.6,51.36,53.68,54.23,57.42,59.29,62.5,66.45,68.37,68.18,67.27,70.99,76.15,78.96,78.64,91.37,89.33,95.51,91.25,97.93,99.75,93.88,101.55,104.57,105.68,109.52,115.72,121.08,126.14,127.5,
Equatorial Guinea,GNQ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,88.74,102.24,102.22,111.1,107.43,111.8,109.21,114.98,96.41,109.55,84.79,60.73,62.55,63.53,53.98,46.89,45.56,47.2,48.81,53.03,58.8,54.58,55.5,58.27,57.74,59.01,63.35,63.27,60.28,76.87,74.7,71.47,69.23,69.4,70.51,72.59,73.49,71.87,72.63,77.1,77.61,76.18,79.15,79.76,82.35,84.43,87.85,88.96,88.86,92.07,93.85,95.83,96.2,97.57,102.64,99.78,101.97,103.27,105.27,103.98,103.56,104.28,
Greece,GRC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,60.46,49.36,55.9,54.82,59.11,61.38,62.63,61.21,62.01,68.01,66.05,69.68,70.67,77.36,82.98,76.32,75.82,83.13,78.19,91.79,96.11,96.34,92.76,97.47,102.85,96.09,92.09,100.89,107.28,88.9,107.94,107.92,101.28,109.2,109.83,109.46,104.82,109.02,114.26,114.94,112.37,112.59,102.42,106.44,110.81,101.59,97.64,98.97,100.14,99.52,98.66,101.23,89.28,96.69,104.59,98.73,100.6,99.7,102.71,104.47,101.56,94.17,
Grenada,GRD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,92.82,100.53,107.62,101.13,129.69,128.45,141.18,145.16,145.51,142.01,128.02,120.77,114.71,111.97,113.43,135.74,133.79,135.84,144.09,132.02,145.16,124.98,115.69,132.45,117.03,126.23,142.54,121.3,117.92,120.9,116.19,114.9,123.46,128.91,116.6,115.07,113.29,110.97,117.48,116.47,105.38,123.6,108.36,112.44,52.61,61.02,64.54,64.87,66,73,77.44,78.19,81.87,94.36,104.54,101.1,92.93,92.28,84.68,81.46,85.42,75.86,
Greenland,GRL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,11.23,12.6,13.63,14.53,15.25,15.4,14.76,16.75,17.42,17.74,17.4,19.41,21.01,22.87,22.54,24.07,26.08,26.64,26.25,27.86,28.33,28.08,25.92,26.77,27.62,28.79,28.67,29.41,32.29,34.95,35.86,37.43,37.87,38.62,42.08,44.93,46.16,48.5,49.15,50.31,53.05,56.47,57.93,61.7,63.58,65.98,73.26,74.54,79.61,78.86,81.59,86.57,90.8,96.52,101.05,102.43,94.43,97.67,95.75,97.47,99.72,100.13,
Guam,GUM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,41.5,42.52,37.3,43.06,42.57,44.06,43.27,39.11,44.44,42.5,45.3,39.52,38,47.8,46,41.61,47.57,51.21,44.65,46.45,48.73,48.48,42.88,44.73,43.3,45.17,41.36,39.16,37.11,33.43,40.88,44.13,47.23,51.3,61.39,62.45,65.05,58.84,64.29,58.84,61.91,60.83,64.31,63.19,53.94,57.19,56.55,56.64,60.7,62.39,65.96,64.78,75.43,93.13,112.19,94.67,105.54,106.77,107.89,109.88,97.56,105.61,
High income,HIC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,8.392089989,8.7135089,9.069707856,8.99953447,9.220416951,9.49375035,9.859527273,10.03502628,9.870001139,9.839566184,10.27477647,10.2196822,10.86518424,10.55736825,10.87690219,10.83003343,11.06340037,11.63081999,12.13223711,11.50657225,12.03093966,12.57011949,11.31765949,12.60767784,12.70873793,12.52512054,12.40818565,11.59206565,12.51142943,12.64092193,12.35648599,14.18473558,13.60910179,14.06946112,13.58675384,14.51520787,14.83277168,14.51289946,14.81482458,97.24861123,97.19902501,97.14279061,97.1065168,97.41841547,97.29746413,97.24189236,97.25785904,97.41863372,97.46359809,97.32999025,97.42971263,97.31537174,97.53866447,97.60415025,100,100,100,100,100,100,,,
"Hong Kong SAR, China",HKG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,294.66,268.99,233.04,188.99,216.93,333.48,384.58,332.93,353.85,376.24,389.02,360.81,347.84,357.14,325.08,347.18,358.52,323.85,345.58,362.45,339.98,324.79,322.43,303.67,275.69,289.28,270.24,277.37,278.45,235.01,224.14,198.57,187.01,196.38,193.03,170.99,165.03,146.88,131.95,111.7,96.2,94.42,94.81,96.01,96.38,98.52,98.71,98.39,97.8,97.52,98.35,104.37,102.77,100.7,98.82,100.48,101.06,101.45,101.16,100.87,101.47,101.49,
Honduras,HND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,25.15,25.46,25.45,28.05,28.77,34.07,39,41.34,42.98,41.27,44.33,47.06,44.85,41.44,33.77,39.57,44.46,47.97,52.07,52.12,54.23,54.5,52.35,49.49,51.04,51.04,53.86,55.11,56.7,59.38,57.56,59,61.7,61.47,62.23,69.57,69.48,68.38,54.93,60.67,64.79,67.93,76.41,80.49,84.9,84.8,90.84,91.29,92.47,91.11,98.58,107.29,99.72,91.88,100.39,107.73,119.59,122.09,119.29,108.11,105.87,102.27,
Heavily indebted poor countries (HIPC),HPC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.02890834,15.87959676,15.71958806,13.94598467,14.57262072,14.32867528,17.75132716,14.83451152,18.12951686,19.35745121,20.26078027,20.60112537,19.81467857,23.77796267,23.36224715,21.35722843,23.51908922,23.61758285,19.89665649,20.46004113,23.45836167,19.51124406,21.68478627,19.79433674,24.10043591,23.43014143,21.21018834,26.44034458,19.04140132,17.29837128,23.74194101,27.30947287,50.31600877,64.21436714,62.89670616,75.07497027,72.94856358,75.44907846,70.42581798,72.36830771,85.38569102,83.28897501,98.07293122,94.019936,101.129154,104.8406941,102.4008353,99.07814818,105.2234543,91.28998903,108.0408674,100,100,100,100,100,100,100,100,100,,,
Croatia,HRV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,78.97,76.15,80.73,83.89,87.65,97.46,93.95,69.86,80.2,87.92,63.36,81.13,84.84,90.54,85.29,109.22,104.81,95.74,94.35,81.75,100.48,92.3,96.85,110.84,88.14,100.5,98.19,110.96,94.56,85.16,
Haiti,HTI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,50.22,49.31,51.13,52.2,53.28,53.3,54.52,54.57,55.75,57.85,59.35,60.52,60.96,61.94,63.21,63.83,63.27,64.74,68.64,69.39,68.61,69.55,71.49,71.63,71.8,71.02,69.29,68.36,68.46,65.2,62.93,59.82,58.46,57.69,56.11,56.31,59.46,56.89,59.11,60.11,57.92,58.61,60.17,62.33,66.56,66.87,75.05,71.65,82.24,88.29,93.7,94.63,100.45,102.73,98.69,98.58,93.07,88.06,77.02,68.09,74.27,72.06,
